year,population,labor_force,",population_percent",employed_total,employed_percent,agrictulture_ratio,nonagriculture_ratio,unemployed,unemployed_percent,not_in_labor,Nominal,Real,% nominal,% real
1976,156150,96158,61.6,88752,56.8,3331,85421,7406,7.7,59991,2086,5937,13,5.6
1977,159033,99008,62.3,92017,57.9,3283,88734,6991,7.1,60025,2356.6,6267.2,11.7,3.2
1978,161910,102250,63.2,96048,59.3,3387,92661,6202,6.1,59659,2632.1,6466.2,8.8,-0.2
1979,164863,104962,63.7,98824,59.9,3347,95477,6137,5.8,59900,2862.5,6450.4,12.2,2.6
1980,167745,106940,63.8,99302,59.2,3364,95938,7637,7.1,60806,3211,6617.7,4.2,-1.9
1981,170130,108670,63.9,100397,59,3368,97030,8273,7.6,61460,3345,6491.3,8.8,4.6
1982,172271,110204,64,99526,57.8,3401,96125,10678,9.7,62067,3638.1,6792,11.1,7.3
1983,174215,111550,64,100834,57.9,3383,97450,10717,9.6,62665,4040.7,7285,7.6,4.2
1984,176383,113544,64.4,105005,59.5,3321,101685,8539,7.5,62839,4346.7,7593.8,5.6,3.5
1985,178206,115461,64.8,107150,60.1,3179,103971,8312,7.2,62744,4590.2,7860.5,6.1,3.5
1986,180587,117834,65.3,109597,60.7,3163,106434,8237,7,62752,4870.2,8132.6,7.9,4.2
1987,182753,119865,65.6,112440,61.5,3208,109232,7425,6.2,62888,5252.6,8474.5,7.7,3.7
1988,184613,121669,65.9,114968,62.3,3169,111800,6701,5.5,62944,5657.7,8786.4,5.7,1.9
1989,186393,123869,66.5,117342,63,3199,114142,6528,5.3,62523,5979.6,8955,3.3,-0.1
1990,189164,125840,66.5,118793,62.8,3223,115570,7047,5.6,63324,6174,8948.4,5.9,3.6
1991,190925,126346,66.2,117718,61.7,3269,114449,8628,6.8,64578,6539.3,9266.6,5.2,2.7
1992,192805,128105,66.4,118492,61.5,3247,115245,9613,7.5,64700,6878.7,9521,6.3,4
1993,194838,129200,66.3,120259,61.7,3115,117144,8940,6.9,65638,7308.8,9905.4,4.9,2.7
1994,196814,131056,66.6,123060,62.5,3409,119651,7996,6.1,65758,7664.1,10174.8,5.7,3.8
1995,198584,132304,66.6,124900,62.9,3440,121460,7404,5.6,66280,8100.2,10561,6.3,4.5
1996,200591,133943,66.8,126708,63.2,3443,123264,7236,5.4,66647,8608.5,11034.9,5.6,4.5
1997,203133,136297,67.1,129558,63.8,3399,126159,6739,4.9,66836,9089.2,11525.9,6.3,4.7
1998,205220,137673,67.1,131463,64.1,3378,128085,6210,4.5,67547,9660.6,12065.9,6.5,4.1
1999,207753,139368,67.1,133488,64.3,3281,130207,5880,4.2,68385,10284.8,12559.7,3.3,1
2000,212577,142583,67.1,136891,64.4,2464,134427,5692,4,69994,10621.8,12682.2,3.3,1.8
2001,215092,143734,66.8,136933,63.7,2299,134635,6801,4.7,71359,10977.5,12908.8,4.9,2.8
2002,217570,144863,66.6,136485,62.7,2311,134174,8378,5.8,72707,11510.7,13271.1,6.6,3.8
2003,221168,146510,66.2,137736,62.3,2275,135461,8774,6,74658,12274.9,13773.5,6.7,3.3
2004,223357,147401,66,139252,62.3,2232,137020,8149,5.5,75956,13093.7,14234.2,5.8,2.7
2005,226082,149320,66,141730,62.7,2197,139532,7591,5.1,76762,13855.9,14613.8,4.5,1.8
2006,228815,151428,66.2,144427,63.1,2206,142221,7001,4.6,77387,14477.6,14873.7,1.7,-0.3
2007,231867,153124,66,146047,63,2095,143952,7078,4.6,78743,14718.6,14830.4,-2,-2.8
2008,233788,154287,66,145362,62.2,2168,143194,8924,5.8,79501,14418.7,14418.7,3.8,2.5
2009,235801,154142,65.4,139877,59.3,2103,137775,14265,9.3,81659,14964.4,14783.8,3.7,1.6
2010,237830,153889,64.7,139064,58.5,2206,136858,14825,9.6,83941,15517.9,15020.6,4.1,2.2
2011,,,,,,,,,,,16155.3,15354.6,3.3,1.7
2012,,,,,,,,,,,16691.5,15612.2,4.4,2.6
2013,,,,,,,,,,,17427.6,16013.3,4,2.9
2014,,,,,,,,,,,18120.7,16471.5,2.8,1.5
